variable,dtype,na_n,na_pct,n_unique,min,p25,p50,p75,max,mean,std,cv,top,top_n,comentario
alcaldesa_end_l2,float64,6408,15.29,2,0.0,0.0,0.0,0.0,1.0,0.2288,0.42,1.84,,,
alcaldesa_excl_trans_l1,float64,5877,14.02,2,0.0,0.0,0.0,0.0,1.0,0.2281,0.4196,1.84,,,
alcaldesa_excl_trans_l2,float64,8185,19.53,2,0.0,0.0,0.0,0.0,1.0,0.2278,0.4194,1.84,,,
alcaldesa_end_excl_trans_l1,float64,5820,13.89,2,0.0,0.0,0.0,0.0,1.0,0.2282,0.4197,1.84,,,
alcaldesa_end_excl_trans_l2,float64,8128,19.4,2,0.0,0.0,0.0,0.0,1.0,0.2279,0.4195,1.84,,,
hist_mun_available,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.9988,0.0349,0.03,,,
hist_state_available,int64,0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,constante
quarters_in_base,int64,0,0.0,4,1.0,17.0,17.0,17.0,17.0,16.9908,0.328,0.02,,,
missing_quarters_alcaldesa,int64,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,constante
ok_panel_completo,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.8434,0.3634,0.43,,,
alcaldesa_final,int64,0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.2227,0.416,1.87,,,
filled_by_manual,int64,0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0474,0.2125,4.48,,,
alcaldesa_final_l1,float64,2471,5.9,2,0.0,0.0,0.0,0.0,1.0,0.2226,0.416,1.87,,,
alcaldesa_final_l2,float64,4940,11.79,2,0.0,0.0,0.0,0.0,1.0,0.2225,0.4159,1.87,,,
ok_panel_completo_final,int64,0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,constante
alcaldesa_final_f1,float64,2471,5.9,2,0.0,0.0,0.0,0.0,1.0,0.2266,0.4186,1.85,,,
alcaldesa_final_f2,float64,4940,11.79,2,0.0,0.0,0.0,0.0,1.0,0.2273,0.4191,1.84,,,
alcaldesa_final_l3,float64,7409,17.68,2,0.0,0.0,0.0,0.0,1.0,0.2223,0.4158,1.87,,,
alcaldesa_final_f3,float64,7409,17.68,2,0.0,0.0,0.0,0.0,1.0,0.2272,0.419,1.84,,,
cve_ent,str,0,0.0,32,,,,,,,,,20,9690.0,
cve_mun3,str,0,0.0,570,,,,,,,,,002,544.0,
cvegeo_mun,str,0,0.0,2471,,,,,,,,,01001,17.0,
flag_undef_saldoprom_ahorro_m,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.937,0.2429,0.26,,,
flag_undef_saldoprom_ahorro_h,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.9346,0.2473,0.26,,,
flag_undef_saldoprom_ahorro_pm,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.9956,0.0661,0.07,,,
flag_undef_saldoprom_ahorro_t,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.9268,0.2604,0.28,,,
flag_undef_saldoprom_plazo_m,int64,0,0.0,2,0.0,0.0,1.0,1.0,1.0,0.5782,0.4938,0.85,,,
flag_undef_saldoprom_plazo_h,int64,0,0.0,2,0.0,0.0,1.0,1.0,1.0,0.5771,0.494,0.86,,,
flag_undef_saldoprom_plazo_pm,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.8075,0.3943,0.49,,,
flag_undef_saldoprom_plazo_t,int64,0,0.0,2,0.0,0.0,1.0,1.0,1.0,0.5692,0.4952,0.87,,,
flag_undef_saldoprom_n1_m,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.9685,0.1746,0.18,,,
flag_undef_saldoprom_n1_h,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.9135,0.2811,0.31,,,
flag_undef_saldoprom_n1_pm,int64,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.9992,0.0285,0.03,,,
