outcome,depvar,sample,coef,se,pval,ci_lo,ci_hi,nobs,r2_within,n_mun
ncont_total_m,ncont_total_m_pc_asinh,main,0.006939585912213544,0.021547580312198514,0.7474099270594166,-0.03529419320054174,0.04917336502496883,41871,-0.0007354503815053537,2463
numtar_deb_m,numtar_deb_m_pc_asinh,main,-0.013654236052390595,0.021290581718566105,0.5213136418875886,-0.055384291699285756,0.02807581959450457,41871,0.007230635906617211,2463
numtar_cred_m,numtar_cred_m_pc_asinh,main,-0.0017362365405582073,0.017209996018010234,0.9196419830655591,-0.035468245416959136,0.03199577233584273,41871,0.0045993318289271334,2463
numcontcred_hip_m,numcontcred_hip_m_pc_asinh,main,0.01801330542135358,0.02139766233819727,0.39988531495641766,-0.023926630832609066,0.059953241675316224,41871,0.0013146426759950147,2463
saldocont_total_m,saldocont_total_m_pc_asinh,main,0.004176367430052304,0.04901619925565099,0.9320997865474951,-0.09189656987038401,0.10024930473048861,41871,0.0002174630152744772,2463
