outcome,label,coef_twfe,se_twfe,nobs,mdes_05_80_asinh,mdes_05_80_pct,mdes_10_80_asinh,mdes_10_80_pct,mdes_05_90_asinh,mdes_05_90_pct
ncont_total_m,Contratos totales,0.0069620335099381,0.0215420233487666,41905,0.06035181418214893,6.221018142272894,0.053563699501537505,5.502419414246651,0.06982880366531363,7.232458750040194
numtar_deb_m,Tarjetas débito,-0.0136618286087243,0.0212853763172035,41905,0.05963279565224918,6.144670712861222,0.05292555310952765,5.435114903298599,0.06899687832161878,7.143286447431585
numtar_cred_m,Tarjetas crédito,-0.0017436619202572,0.0172059520238212,41905,0.048203940853498384,4.938464590335179,0.0427821671586201,4.371051565897988,0.05577336103922695,5.735801805646945
numcontcred_hip_m,Créditos hipotecarios,0.0179974337647644,0.0213925012473186,41905,0.05993291527295103,6.176531591973422,0.05319191655519428,5.463202704414161,0.06934412544838861,7.180498106250011
saldocont_total_m,Saldo total,0.0042310081727363,0.0490042074259183,41905,0.13728946314979446,14.716016105892127,0.1218477298244683,12.958208702162398,0.15884790039068808,17.215964809696228
