outcome,depvar,sample,coef,se,pval,ci_lo,ci_hi,nobs,r2_within,n_mun
ncont_total_m,ncont_total_m_pc_asinh,full,0.006962033509938105,0.021542023348766613,0.7465577441901763,-0.035260852964109204,0.049184919983985415,41905,-0.0007348174509618222,2471
numtar_deb_m,numtar_deb_m_pc_asinh,full,-0.01366182860872437,0.021285376317203585,0.520980115789127,-0.05538168069727569,0.02805802347982695,41905,0.007230302834748348,2471
numtar_cred_m,numtar_cred_m_pc_asinh,full,-0.0017436619202572518,0.017205952023821258,0.9192805840825597,-0.035467743786564594,0.03198041994605009,41905,0.004600529406153631,2471
numcontcred_hip_m,numcontcred_hip_m_pc_asinh,full,0.01799743376476443,0.02139250124731863,0.4001870243778791,-0.023932385776219662,0.059927253305748523,41905,0.0013147480244024567,2471
saldocont_total_m,saldocont_total_m_pc_asinh,full,0.0042310081727363,0.049004207425918316,0.9311968252159359,-0.0918184229042048,0.10028043924967742,41905,0.00021746131333344465,2471
