column,dtype,null_count,null_rate,n_unique,min,p50,max
saldocont_n2_m_pc,double precision,0,0.0,39983,0.0,116654.5171,403558645.1212
saldocont_n2_h_pc,double precision,0,0.0,39440,0.0,143192.6121,267647119.4633
saldocont_n2_t_pc,double precision,0,0.0,40829,0.0,146428.9709,297270561.9633
saldocont_n3_m_pc,double precision,0,0.0,6651,0.0,0.0,48712373.7116
saldocont_n3_h_pc,double precision,0,0.0,7176,0.0,0.0,120752193.1638
saldocont_n3_t_pc,double precision,0,0.0,7440,0.0,0.0,80421412.0342
saldocont_tradic_m_pc,double precision,0,0.0,18112,0.0,0.0,2025546931.0193
saldocont_tradic_h_pc,double precision,0,0.0,18213,0.0,0.0,3346206009.6095
saldocont_tradic_t_pc,double precision,0,0.0,18367,0.0,0.0,17732933671.101
saldocont_total_m_pc,double precision,0,0.0,40008,0.0,196373.5343,6594807478.46
saldocont_total_h_pc,double precision,0,0.0,39466,0.0,261303.0888,9943222962.3322
saldocont_total_t_pc,double precision,0,0.0,40844,0.0,240278.5515,25484667824.9798
numcontcred_hip_m_pc,double precision,0,0.0,16054,0.0,4.268,9463.8695
numcontcred_hip_h_pc,double precision,0,0.0,19319,0.0,10.6636,23856.4477
numcontcred_hip_t_pc,double precision,0,0.0,21264,0.0,7.7446,16515.7832
numtar_deb_m_pc,double precision,0,0.0,33851,0.0,494.877,2839565.8263
numtar_deb_h_pc,double precision,0,0.0,35107,0.0,677.1344,2818550.6051
numtar_deb_t_pc,double precision,0,0.0,37153,0.0,609.791,2863534.0641
numtar_cred_m_pc,double precision,0,0.0,31867,0.0,242.9828,258990.1321
numtar_cred_h_pc,double precision,0,0.0,32501,0.0,337.8378,59992.699
numtar_cred_t_pc,double precision,0,0.0,35617,0.0,291.7492,148943.6142
log_pob,double precision,0,0.0,8735,4.406719,9.525297,14.469149
log_pob_adulta,double precision,0,0.0,8416,4.204693,9.19766,14.199587
log_pob_adulta_m,double precision,0,0.0,7506,3.610918,8.54364,13.550044
log_pob_adulta_h,double precision,0,0.0,7332,3.295837,8.469682,13.510175
ncont_ahorro_m_pc_w,double precision,0,0.0,1799,0.0,0.0,162.00049599999926
ncont_ahorro_h_pc_w,double precision,0,0.0,1882,0.0,0.0,185.3811439999998
ncont_ahorro_t_pc_w,double precision,0,0.0,2001,0.0,0.0,172.87002399999952
ncont_plazo_m_pc_w,double precision,0,0.0,15833,0.0,0.0,1492.1724919999983
ncont_plazo_h_pc_w,double precision,0,0.0,15405,0.0,0.0,962.455895999998
ncont_plazo_t_pc_w,double precision,0,0.0,16365,0.0,0.0,1204.91844
ncont_n1_m_pc_w,double precision,0,0.0,634,0.0,0.0,4.371899999999996
ncont_n1_h_pc_w,double precision,0,0.0,1390,0.0,0.0,2.7309439999999987
ncont_n1_t_pc_w,double precision,0,0.0,1526,0.0,0.0,3.913867999999995
ncont_n2_m_pc_w,double precision,0,0.0,34787,0.0,344.8276,7502.249327999971
ncont_n2_h_pc_w,double precision,0,0.0,34262,0.0,339.213,4457.717875999998
ncont_n2_t_pc_w,double precision,0,0.0,35985,0.0,374.2119,5236.292335999998
ncont_n3_m_pc_w,double precision,0,0.0,5255,0.0,0.0,152.7320999999991
ncont_n3_h_pc_w,double precision,0,0.0,5823,0.0,0.0,209.70754399999964
ncont_n3_t_pc_w,double precision,0,0.0,6210,0.0,0.0,181.0560959999999
ncont_tradic_m_pc_w,double precision,0,0.0,17571,0.0,0.0,16791.167675999994
ncont_tradic_h_pc_w,double precision,0,0.0,17547,0.0,0.0,17703.724967999995
ncont_tradic_t_pc_w,double precision,0,0.0,17719,0.0,0.0,17546.420295999975
ncont_total_m_pc_w,double precision,0,0.0,35135,0.0,575.2561,21346.294463999984
